employeeID;industry;company;score;like;dislike
1;Consulting;Accenture;3.0;I am part of internal IT and what I have observed is Accenture has better job security than most of our counterparts. Work culture depends from project to project. In operations of internal IT the work culture is not so good but in some projects it is really amazing. Leadership at top level of Accenture are really visionary and indus;There is a culture bias in middle management of Accenture in India. Also the HR is not very active and always takes side with middle management. It is very difficult to work in a project or group where most of the people belong from a particular region or part of India. It is more prevalent in southern part where there is least respe
2;Consulting;Accenture;4.0;"Lot of chance to skill development but manage time is very difficult. Due to high work pressure not easy to balance work life with personal life. Provide very good compensation for skilled, hard working employees; OT, Comp-off, pay on holiday work, meal coupon including with CTC. Company work culture is good ( depends on projec";Never say no to clients Adhoc request. Even if it not in the scope of any employee still need to deliver within very short time, extend working hours. But Accenture provide OT for that, sometimes it is hectic for employee perspective.
3;Consulting;Accenture;3.0;When I started my carrier in accenture it was the new project we started worked in.......The senior associate s became the team leads ......The work culture looks exactly like school .....Even after working hard we will not get any hikes .....It goes only for the favourable persons .....Iam telling you what happened in my project ...;At Accenture in some branches the cafeteria is not good and for the night shift people food won't available after 7 pm...toilets are ok with maintenance, ladies security is good to work in the night shift For entertainment lovers it will not the best Some of the team leads, trainers will treat us like we are working under them
4;Consulting;Accenture;1.0;Meet few good people. Certain certification costs may be reimbursed.;Meet a lot of bad people. Bad management, no accountability for Manager and above when they abuse others. Retaliation by management when you ask for project change. Compensation will be on lower end unless you are a lateral recruit. Gaslighting by higher management. You will be ask for feedback but will be retaliated against when you
5;Consulting;Accenture;5.0;Good work environment and culture. Teammates are supportive and the management is transparent. There is a huge cafeteria and gaming arcade for chilling. Company policies are good, appraisals are fair and they give good salary hike and bonus every year.;There is a lot of politics and the management doesn’t address our issues. Salary is decent but career growth is slow. There is a bond of 2 years before which you cannot resign. On the job training is not given to new joinees.
6;Consulting;Accenture;5.0;Lot of opportunities in terms of learning new things, trainings and your leadership supports you. Accenture is a market leader in adopting new technologies so if you want to learn new, it's right place. The work culture is very professional and you will feel difference to be part of Accenture as compared to other services organizatio;Organization's expectation from you is high as Accenture is world class leader in providing services to their client, so you have to be cautious in defining boundaries for yourself to live a balanced work life instead you become part of this never ending race.
7;Consulting;Accenture;3.0;Company offers some great opportunities to grow one's carrer but the channel to pursue the same is missing. There is no proper guidance from leadership. They always talked about it but doesn't help or show the constructive way to utilize the chance as there is a huge operational burden at the same time which steals away the time & chance to grow.;Yearly evaluation process to judge someone's performance. People are being judged & dealt with perceptions based on one or two assignments. How can a manager judge someone's performance, everyone is different & possess different capabilities. Need is to identify that instead of wasting energy in evaluating & judging someone. Somehow,
8;Consulting;Accenture;5.0;Good work culture and the management and leadership is supportive in terms of learning and new opportunities. There is no micro management and the teams are agile there by ensuring the exposure of the individual employee. Timely team connects to ensure the employees have a voice. Better hike and bonuses. They also provide free transp;Though the client might expect you to work in a particular timing, there is no shift per say in some projects. While the meetings extend till 8.30 to 9 PM due to day light saving, the employees could better avail the shift allowance and work in a shift timing there by ensuring the employee does not have to spend extra hours at work and also to get a shift allowance.
9;Consulting;Accenture;2.0;If you want to just increase salary come here, in case you get in a good team your growth in learning and view towards company will be awesome.;PIP, Probation increase happens lots, no proper management is there, no value for individual rather favourite members get all benefits and rewards, promotion too. Men and women partiality is there where men's job r insecure, risk of getting pip is high especially for new joiners getting kicked out after exact 1yr, which happened to m
10;Consulting;Accenture;1.0;Liked nothing till my Last working day. Transition to work from home was pain and there was very less cooperation from internal teams.;Lot of partiality, favoritism and employees are at the mercy of managers. There is no guarantee of promotion even if you are hard worker, completely depends on whom the magaer and senior management want to promote. Gross misuse of talent at all levels. Internal job postings are just for namesake. Variable pay structure is not proper
11;Consulting;Accenture;3.0;Job security, wide range of processes, deals and clients. One can look for different domain to work for in the same company. Infrastructure is amazing.;As usual - management is pathetic and full of lickers instead of some actual talent, hence people with talent hardly get any chance to move above the ladder. A few processes/deals have 10hrs of shift which is quite insane + the extension they demand on top of 10hrs leaves the employee with poor or no worklife balance at all. This can
12;Consulting;Accenture;4.0;It's a very good company for Salesforce people, there are good projects and learning opportunities. Things might vary from project to project, but overall experience is good. WLB better than big 4 consulting. Again depending on projects.;Not specific to Accenture, but companies need to train their managers well. They need to have qualities like 'empathy'. They should know how to maintain a good relationship with juniors. They need to learn to be more friendly. I personally have seen such person who understands you well, maintains a fun work environment, talks to y
13;Consulting;Accenture;2.0;Steep learning curve;No one really addresses your issues not HR either which is under pressure from Business, than being an independent body ensuring the well being of their Human resources. Mostly everyone is bothered about just checking the box and following protocol and despite havin an Ethics and Compliance wing, justice is a long drawn process, heav
14;Consulting;Accenture;2.0;Job security is there, and great learning in some of the projects. Leave policy is good.;Favoritism with higher management. Higher management is given more power, no action on grievances, career growth stops due to favoritism, My salary was reduced after one year of joining Accenture. Appraisals has no transparency. I was given 0 % hike and 0% variable pay because of personal conflict with delivery manager. No work life
15;Consulting;Accenture;4.0;There is slight gap in communication between HRs & Project managers as to defining few things like shift timings, compensatory time-offs and sometimes even - allowances. But this is not an organisational flaw & rather capability management issue. Job security provided by Accenture is quite satisfactory & there have been cases where e;- Project level management where allowances can seem little low to what you have actually worked for. - Comfort zone increases with time which can be dangerous if you are a 'job hopper' & want a steep hike in salary. - Some projects don't offer as much sk
16;Consulting;Accenture;5.0;Accenture is best company to start your career and even retire with. The policies are employee friendly. Women employees get good support from leadership. Work culture and ethics are high. Human values are really valued here. I was always heard and leadership always supported. I have grown here as a person and as a professional. You;nothing to dislike here. I like to work in Accenture.
17;Consulting;Accenture;5.0;Good work environment and culture, supportive leadership. There is huge caffeteria,cab facilities,gym,snack corner. Multiple opportunity to showcase or prove yourself apart from normal delivery work. Lots of learning opportunity.Employee can enroll in share purchase program of accenture where they can get additional monetery benef;There is slow growth in terms of salary hike, earlier it showed very good growth in hikes but with time rate of hike is not satisfactory
18;Consulting;Accenture;3.0;Salary you get end of the month will make u happy but do not get too happy once you spend it you will receive an email from your team leader stating they paid by mistake and a deduction is waiting for you next month VERY NICE EXPERIENCE WHEN U GET A DEDUCTION OF A GOOD AMOUNT FROM YOUR BASIC SALARY COZ THERE ARE NO INCENTIVES COZ O;The management they do not have the answer for anything. It's been 16 months my salary dispute is not solved. Won't recommend
